"docid","author_id","corrected_comp_year","topic_001","topic_002","topic_003","topic_004","topic_005","topic_006","topic_007","topic_008","topic_009","topic_010","topic_011","topic_012","topic_013","topic_014","topic_015","topic_016","topic_017","topic_018","topic_019","topic_020","topic_021","topic_022","topic_023","topic_024","topic_025","topic_026","topic_027","topic_028","topic_029","topic_030","topic_031","topic_032","topic_033","topic_034","topic_035","topic_036","topic_037","topic_038","topic_039","topic_040","topic_041","topic_042","topic_043","topic_044","topic_045","topic_046","topic_047","topic_048","topic_049","topic_050","topic_051","topic_052","topic_053","topic_054","topic_055","topic_056","topic_057","topic_058","topic_059","topic_060","topic_061","topic_062","topic_063","topic_064","topic_065","topic_066","topic_067","topic_068","topic_069","topic_070","topic_071","topic_072","topic_073","topic_074","topic_075","topic_076","topic_077","topic_078","topic_079","topic_080","topic_081","topic_082","topic_083","topic_084","topic_085","topic_086","topic_087","topic_088","topic_089","topic_090","topic_091","topic_092","topic_093","topic_094","topic_095","topic_096","topic_097","topic_098","topic_099","topic_100"
"aalb003lief01","aalb003",1955,0.000379751648379983,0.00189438508387198,0.000630941215442674,0.0299097713008554,0.00916941615639356,0.000114598041060532,0.0199768960908015,0.00326499162084946,4.67564299344888e-05,0.0713001847848432,0.000204951589277286,0.00237344663078933,0.000168355989208032,0.00314574461882476,0.120866265058456,0.00843102717288351,0.00194565185079225,0.000527111276798736,0.00332359810595007,0.0114747251777012,0.0117521915466092,0.000379765642883799,0.000561062855590066,0.00196133202471968,0.000422231391278048,0.000806764999772789,0.000335204438128289,0.030857273481554,0.00104679369924449,0.000215907703473438,0.000203950203674997,0.0574648447980095,0.0705646943169374,0.000140904934047559,0.00114823307595901,0.00733576383901009,0.000853101064628725,0.000561266419430935,4.3544069253339e-05,0.00147415281280413,3.64654739225732e-05,0.0039160819935335,0.0111502389790369,0.0169659875526394,0.0093538780441721,0.0014890126187378,0.00233613240454125,0.0381608501229368,0.0110023472180453,0.0229303195381238,6.60663591706716e-05,0.0023331838628763,0.00235041023839255,0.00188329341347811,0.0123535282178757,6.9538830028433e-05,0.00204755000392894,0.0362627092686325,0.000949612921293608,0.000224275485999973,0.00577048256731937,0.0044200673391038,0.00155264285962641,9.77216467267847e-05,0.000144890961080194,0.000711002376794184,0.000164256692526291,0.000642779502869297,0.000828416944973663,0.000448291967405671,0.000336795696411134,0.00180100023442978,0.00476957255428738,0.000196953195638361,0.00266084020353151,0.000803573787411167,0.000183241705281253,0.0046533336590094,0.0170895589763143,0.00356435778348615,1.98415294096325e-05,0.0211967974444449,0.0131559132318292,0.106440052085959,3.66787862794041e-05,0.000550302889160951,0.0129568611796281,0.00387007806942231,0.0290670092426501,0.0153857197837824,0.00192007107183743,4.14599364632409e-05,0.0084678749292482,0.00870863489342977,0.0560989392571977,0.00417190078707465,0.00519627304545026,0.00151929089824927,0.00314326492250963,0.00405421965425756
"aals010lotg01","aals010",1924,7.69539128294958e-05,0.00345099072115785,0.00162210659937024,0.0126182137575866,0.00479440051697662,0.0141134796170191,0.00359481269472385,0.000316823176744155,0.000308776809385818,0.00441977240347753,5.686527755691e-05,0.0518400479497565,0.00328444802223057,0.00122618688356727,0.00204907656063628,0.0265577400165505,0.00923913009513434,0.0021034886897651,0.00208858160214262,0.000272428367795999,0.00145937406448383,0.00013572779052992,0.000809315131620697,0.0190422195963318,0.00461471815859751,0.00745478712169987,0.00369832543113306,0.00339549465247593,0.311733355678388,0.0548033300329229,0.000803962945121827,0.00296166338746065,0.00730661891179825,0.000868176477559346,5.26203716019795e-05,0.0287198750247127,0.00907139533192244,0.000644403609073173,0.00022874619710721,0.00615994804964886,0.000177910082905118,0.0190101442518045,0.0123469249114521,0.00121297956839123,0.017179704985466,0.000592743091963194,0.000777284704277094,0.0253813394840832,0.0165913701041646,0.000440263809597463,9.5572705319903e-05,0.0620820684270295,0.00488363238778352,0.000101386227491975,0.00604290256035238,0.000100596040012276,0.00278728647887568,0.0768025112699069,0.00628589972176974,0.000335312310583225,0.000843861155214021,4.85541985293619e-05,0.00119265009994241,5.84056727926329e-05,0.00025048841146549,0.00498030528581876,0.00446315876659523,0.00173092700503509,0.0071330535804745,0.00164084544577021,0.000546987251736302,0.000261293676000973,0.00478054808534988,0.00900622957257404,0.00117553220996178,0.000107848832236655,0.00242904044311715,0.0118353891452854,0.00105101706613497,0.00904942111329227,2.8703089850376e-05,0.0324182404280905,0.000309375353826795,0.00209335081134885,5.30601485624073e-05,0.000459720611243659,0.00158541670845673,0.0001031688528182,0.00210418091149021,0.00109289596956905,3.7938406019358e-05,5.99766407582249e-05,0.0031936176652197,0.00494253633845585,0.0106559154604901,0.0067199250502972,8.91688942865093e-05,0.000279406571763658,0.000169779775958063,0.00979185053234057
"aard002stij01","aard002",1970,0.000202507946502983,0.000178244996371186,0.0171444738294801,0.346386296080084,0.00245503226621905,0.00012458574642497,0.00304086836493587,0.000881175383564877,5.08314511281931e-05,0.0525453594148318,4.27351096373461e-05,0.00232303938018666,0.000155606699458663,0.00665025415544552,0.0652672385221737,0.0519932715834015,0.00157050908638444,0.000154521531662248,0.000193830219079038,0.0240117420717481,0.000595120977172195,4.15951532388313e-05,4.09624332532991e-05,0.000232367073927414,6.02480211922039e-05,0.00146661019967091,0.00159148216501371,0.00566816770801548,0.000405172469644844,0.000234724975638379,5.53258838745855e-05,0.000437574030808166,0.00887382007248371,0.000153185396720732,0.00680074910824049,0.000363586960526463,0.00894715434814514,0.000200569217137235,4.73391195879369e-05,0.000476948918321769,1.28894604873931e-05,0.000107092275986987,0.00124374371678175,0.00584235196172387,0.0115543022163954,0.00213883121988763,0.0188003843390836,0.00628099420178165,0.000313776608068193,0.0862117840424466,7.18243226034781e-05,0.00442028894972357,0.000433935191621353,7.61932717773211e-05,0.00120044800716804,0.000362179716415206,0.0022538649764262,0.00474632485841673,0.000994024293949837,0.000195261275758629,0.00585097783686703,3.64892089980418e-05,0.000740227652387936,4.38927397784736e-05,0.000127839482439956,0.000195801573865015,2.62543446510661e-05,0.000311405197878778,5.36928300571783e-05,0.000718230029701416,4.19221174771649e-05,0.000998432592603932,0.000266414432416002,0.00110472252446584,0.00283321954508273,8.10500162472724e-05,0.0001716332492598,0.00548939636415183,0.0294018076071441,0.000435487021954726,2.15708028587184e-05,0.0248049492027263,4.62203716805573e-05,0.0565473310963861,3.98754980826223e-05,0.000235490232522195,0.0127774524430408,0.0015848498227867,0.0140042281410624,0.00028220291054381,0.000722324094551187,0.000189749271710923,0.00943166325510427,0.00350045867456257,0.000667428115602595,0.00142642158040819,0.0611098354578106,8.32044454717524e-05,0.000632069285508129,0.0036384559523143
"abko001bert03","abko001",1907,0.00091329209262947,0.000336272240570173,0.000574459989257597,0.00219644531238931,0.00095818390366568,0.000114820340282278,0.000367243210446016,0.0554998676908283,0.00452716411089243,0.0137512529953412,3.93854029964464e-05,0.00182379481264679,0.0112458858836287,0.00283223543393741,0.000140161866329371,0.0792786032939374,0.019078820658722,0.00166599069845121,5.26816414025666e-05,6.90010108244608e-05,0.015136223541644,0.000382332047836795,0.103098172660449,0.00146374703332443,0.00497618188670632,0.001151515998343,0.00138319737478076,0.0124156515336405,3.37724129747031e-05,0.0527787154045982,5.09892744169046e-05,0.000117221253599762,0.0216370104324965,0.000815535604348895,0.00364841644716109,0.00373283967650183,0.0248683096996475,0.000748680433118556,4.36285367766673e-05,0.00330661920034864,1.18791457424766e-05,0.000979180204008569,0.000939437559452027,0.00745177785435171,0.192387529615799,0.00128070231760231,0.0110887683221816,0.0431351513102169,0.0096371091581024,0.000366226647563752,0.00127018488389064,0.0547786304223645,0.000143184997345145,0.00182759825891877,0.00922347672619338,0.0134403204887983,5.69410636042088e-05,0.00123946445453567,0.000145432799501269,0.000179956108703491,0.000300740433528297,3.36290748661967e-05,0.000675826337999653,0.0067501921516129,0.00042876431229776,0.00122048068289023,2.41964500211834e-05,0.000383047109537185,0.00308563384812407,0.000271458635395747,3.86361356110714e-05,6.96313727334606e-05,0.000800190771635356,0.000582174589782902,0.000646806555624487,7.46970717954519e-05,0.000520872868737404,6.9059649141577e-05,0.0166382847629783,0.0248715713242867,1.9880018344567e-05,0.00361568586577551,0.00141858647178877,0.000998603529503931,3.67499364104974e-05,9.07655995274599e-05,0.00101455582556692,0.00876106290568585,0.000509506017282621,0.00111579095818663,0.000895237204411991,0.00212704609629124,0.00148635948222193,0.017248012129682,0.000906407466029638,0.0390327691972185,0.00103342463729409,0.00546423911281369,0.0101372506988672,0.0497648973277282
"abko001circ02","abko001",1926,0.00344438729598061,0.000171698503630994,6.44841920620222e-05,0.0238405547163568,0.00149083039594544,0.00389515979567628,0.00591151424481684,0.000217835255104476,4.89645391106957e-05,0.0317912665009286,0.085706360904558,0.0258290036794029,0.000260756399733178,0.0209541464504623,0.00138813045208145,0.0599433395389809,0.015285940245266,0.000376397563997517,0.0141204275895281,0.00675646911383983,0.00121875106373284,4.00674673332021e-05,0.0214175946392815,0.00252402103199524,0.000164079800823169,0.00377457202803137,0.00589164690328978,0.0208621814140041,0.00046773130082787,0.0625444789265803,0.000161402010695682,0.00023016208065902,0.0037710036106233,0.00197252730207718,0.00826274970863235,0.00294930054511376,0.0147083733409119,0.00145664181158923,4.56004721699518e-05,0.0181750738304669,0.0033537230238413,0.027597995097294,0.0130841616690404,0.00147980464332926,0.0881538276379828,8.01791987050978e-05,0.00311703424758319,0.025703577196713,0.00176846256791674,0.00169429895436821,0.000396205858911867,0.0785501981556827,0.000257299341304494,7.33948835437294e-05,0.00541360462059332,7.28228559667609e-05,0.000169646861077416,0.00570656876793454,0.00730149403879514,0.000188089817651987,0.00284890973780841,0.00851569907045316,0.000841850264658323,4.2280669267902e-05,0.00012314425810973,0.0347458927316444,2.52900882615135e-05,0.000256100101562092,0.000913291765945781,0.0075542944447878,0.00127706259949539,7.27785919280666e-05,0.00219383265628343,0.000454911679978974,0.00380280362826787,0.00351056636296504,0.00214696249827795,0.00523447695810884,0.01780834688043,0.0178663101231879,2.0778561240779e-05,0.0148830081961341,4.45228130740557e-05,0.00169846025711471,0.000155233400714773,9.48680496993989e-05,0.00981454578800207,0.00164546454455092,0.00419433408168738,0.00263995703416461,0.000486693715497931,0.00248446372725133,0.0266070627789872,0.00425134508651214,0.00620466476691747,0.0239488326682392,0.0125211476872456,0.00104082749303383,0.0140141059645688,0.0267168621694035
"abko001frit03","abko001",1916,0.00295729819330137,0.000322789806708913,0.0197825124567557,0.0217084168530779,0.000682209220322422,0.00330380479346608,0.000651083013793739,0.0133027353181424,4.38153201248556e-05,0.00945285524461675,3.68364952755123e-05,0.0168878637785081,0.000952141956935315,0.00824383913261708,0.00131512347790983,0.14971374152347,0.0111866060746964,0.00233898688945337,0.000305630772260838,0.0199984132194237,0.00314655531750562,0.000984877745220547,0.0221346562388219,0.00491554379161606,0.000446253912444349,0.0102420348199667,0.00517298793805875,0.00417579379533876,0.00174256036386372,0.0506883791129154,4.76893981846416e-05,0.000109635038006514,0.0153621168422115,0.00209870353094077,3.4086707270041e-05,0.002144458777994,0.0220130429879214,5.50810720918702e-05,4.08050258872869e-05,0.000316457959232869,0.000135612354316584,0.00932881590211346,0.000804558674852886,0.00222708504148093,0.101009515244275,7.17473772330654e-05,0.00590547813243078,0.0484240702092761,0.000682975300824306,0.004374727606064,6.19106009719412e-05,0.0665929496780837,0.000416196203823538,0.000234824012242468,0.000146876765198623,0.000328877723899547,0.000846677950545211,0.0234591672257268,0.0017554822687037,0.000168309877358722,0.00232446734907877,0.00439753010125994,0.000432422553299957,0.00189953478514462,0.000110194136177155,0.0540016280496006,0.000158205364080987,3.65226690543892e-05,0.000304546213284279,0.000850331055168421,0.00160731609016208,6.51250345960657e-05,0.00588869241330186,0.000734658068535721,0.000780208669115193,6.98628964780692e-05,0.00375073591486587,0.0340041489470665,0.00199728189635443,0.00354812382377848,1.85934418874123e-05,0.00830484169681355,0.000171281284653888,0.00126195775413162,3.43715883542644e-05,0.000506757098071677,0.00846441901646811,0.00271788668156764,0.00378936630639948,0.0045598261261726,0.00273030494791121,0.017067185981095,0.00451327427579788,0.0164510603219733,0.00345868480313287,0.0321197188686555,0.0192238179900522,0.00866503577990907,0.000410823214825144,0.0525349747259503
"abko001hein01","abko001",1908,0.00433283195410429,0.00166700910345666,0.00170775173695258,0.0221433908872521,0.00243947837355654,0.00190216314003628,0.00151543000157495,0.000717904019810862,0.00232632967164373,0.0112591583055699,0.000615156511156784,0.00176241082927219,0.0151075482892682,0.013165184925113,0.00139963340222533,0.0861919733218551,0.00729208041337446,0.00180221801382176,0.00144828687607028,0.00211217363549408,0.00421174971695787,0.00612784532252505,0.000452092824259521,0.00869204879414205,0.000379703192008512,0.00426693906726657,0.00353954557879529,0.00245124253388962,0.0130430401964191,0.0524760711880158,0.000448983138110583,0.00162080530774676,0.0155159465467646,0.00242687691535287,0.003810460215786,0.00257679140325794,0.00378984520148242,0.000618011898219926,0.000405989600517107,0.0155041573229519,0.00402959419478025,0.0428516429695689,0.00649459724848526,0.00685739500710485,0.156843886743694,0.00062488365758016,0.00109918578391014,0.0295527992169929,0.00295102265270609,0.00164416196422198,0.000452660917599045,0.0564839320226774,0.000979148370345275,0.00127218086945713,0.0112363822414024,0.00272865690252837,0.00284974612322003,0.00600071186204323,0.00131191026798063,0.00133824453197138,0.00121318654431335,0.0478512870205684,0.00117785558912328,0.000494027286183891,0.0009136785614759,0.00551475490620259,0.000660023507946561,0.000267036414245418,0.00889447786809114,0.000552295552012381,0.0073816881043501,0.000476163329964851,0.00430435741939203,0.00116534368705845,0.00150223716508394,0.000620213516762272,0.00335146619842375,0.00588817252449284,0.00932838739237828,0.0194470729450215,0.000135946418447708,0.0121919934807752,0.0160604326875259,0.00205101795717438,0.000251308733553231,0.000744143248261928,0.0087631354914319,0.00370944860839015,0.00167451815517078,0.0111774878147918,0.00177331313605782,0.00613338001125055,0.0141515408209965,0.0135330344676701,0.0043048192001112,0.0121749285784998,0.0359939641652985,0.0465715516132384,0.00709269101274631,0.0196386159411694
"abko001hoef01","abko001",1931,0.000479764385414621,0.00107179906263127,0.00062039133857976,0.0487488632147209,0.000926143510914715,0.0048348794528609,0.000521499156027551,0.00797563024175226,4.54481220157883e-05,0.0157522785030931,0.000153816163854096,0.0214842109207279,0.00046876258034069,0.00765038893347209,0.000820280787221846,0.0731594544894581,0.0161983637278707,0.000860753488257183,0.0667428762136497,0.0823531504379398,0.0025630753659102,0.000279267527524915,3.66242871930714e-05,0.00440275505359889,0.00037714328779812,0.0265092233062795,0.00346897273318911,0.008453811629409,0.0259000191462983,0.0667856036462464,4.9466569715317e-05,0.000244439601965351,0.0103717910758127,0.002506129575752,0.00520578214150769,0.00366380270412093,0.0365144503936852,0.00211808706891429,4.23256475154858e-05,0.00309325437902569,1.15243960175636e-05,0.00107547212323756,0.00099769579206473,0.00192986213781843,0.0732597709521436,0.000628551033138295,0.00689287505536385,0.0240540794958573,0.0027203125386959,0.00122238733669959,0.00405172251685545,0.0922183020546886,0.000812374888055893,6.81239869344824e-05,0.00936641743026344,0.000302334823891018,0.00038487648917891,0.00667946095832421,0.00173717324690452,0.000174582037078903,0.00275863423064475,0.00145922201672931,0.000732865210636558,0.000145514183817029,0.000114300580987031,6.23025314389794e-05,0.00182525577075171,0.000708172644176853,0.00133633754461491,0.00583679645789694,0.00225851902716074,6.75519546626656e-05,0.0036836736207342,0.000432545277681761,0.00678646410170468,7.24663755614209e-05,0.000487532071843573,0.00132933717243943,0.0136169092969682,0.0335853592730808,1.92863366782344e-05,0.0188223533729141,0.0183523199679805,0.00178131064795122,3.56524644108418e-05,8.80550450682448e-05,0.0104562867272057,0.000175591703877128,0.0168558938143965,0.00789271370350066,2.54917806876917e-05,0.00709288025337808,0.027204200855034,0.00980014719266062,0.00819877966581063,0.00541971979373066,0.00525476495010692,7.43926389297756e-05,0.0010091963117245,0.00209852426494497
"abko001hoej01","abko001",1917,0.023773293359072,0.000476886168239798,0.0153658287137333,0.0190226944938512,0.000747330164670476,0.0127224899914522,0.000210008954918278,0.0123947380974118,5.08568744624261e-05,0.00853456757735464,0.00178878822962068,0.0173890722873643,0.000631875002290745,0.00324800541872897,0.00501099266594448,0.113670651511117,0.009054442699588,0.000455034447223438,0.00387862197158761,0.0276737517157531,0.00889367347012873,4.1615957041591e-05,0.0188022887459177,0.00102831925321343,6.02781542209813e-05,0.0149402418669569,0.00293647828230371,0.00157612746092722,0.0192154814436164,0.0473527146851433,5.53535550979375e-05,0.000127254470552587,0.00215244044587013,0.000778130012059052,0.00408147998026234,0.000479217909727406,0.0148171557938741,6.39331439471325e-05,4.73627962336526e-05,0.00286980442038082,1.28959071469864e-05,0.0083585347227009,0.000618354515354631,0.000652156923993192,0.084892675499659,0.00243597268556537,0.00406059913667576,0.0192675543451185,0.000943140123166945,0.000510030988764662,0.000544375602264846,0.11195329668955,0.000455876138132798,7.62313798181443e-05,0.000997632807584694,7.56372450585958e-05,0.00108833316239588,0.00917053230923068,0.000656440682011594,0.000195358935624051,0.000468467504236368,3.65074590644016e-05,0.000682875828453966,4.39146927184157e-05,0.000127903421316736,0.00891069746699893,2.62674757532542e-05,0.000788772279121957,0.00102591295743726,0.00105241450751262,0.0302398556546941,0.0200789218864097,0.0263877366678558,0.000107724058590642,0.00323483081444012,0.00173475248541279,0.00273216347621415,0.0127299723914841,0.00590942558294253,0.0182111662514588,2.15815914889578e-05,0.00606007117439939,0.00188693027035291,0.00257142383196005,3.98954418003985e-05,9.85344206579825e-05,0.000681340187930801,0.000978878614541301,0.00128799684351583,0.0275407320283261,0.000663446176411816,0.0101798299457292,0.018304659094892,0.0188130789345971,0.00522237175831662,0.0317212696542913,0.0207973160136386,0.00911457601313157,0.00709821151866767,0.0390026616315568
"abko001holl02","abko001",1907,0.000583760398790761,0.00214580693676804,0.0122660090484549,0.0159762785719942,0.0013032710315714,0.000875047377942107,0.000537027370136481,0.000111779653834877,4.98804478362954e-05,0.0196176993847547,0.000412154573927791,0.0278297068071945,0.0281122286867422,0.00135166811965511,0.000519456243119807,0.11144366330161,0.00488922735519963,0.000617974861345486,0.000381089645807665,0.00913455376185783,0.0102937065071787,0.000149987257098128,0.0013172469786825,0.00291153664423166,0.00107331962668357,0.00285365232541375,0.0130575579656664,0.00433497268957946,0.034272100250582,0.0524181989321385,0.000162868427453808,0.000124811248182846,0.0069144155794124,0.000532869693894228,0.00123075556938413,0.0074289736205559,0.0324544034404607,0.000277761901400856,4.64534541669334e-05,0.00510367610346022,0.00135411172679541,0.0025555015345344,0.00102155592526781,0.00206704254405488,0.122148510147837,0.000296994089561567,0.00373891109338766,0.024428473477267,0.0102714553178049,0.000523745054572679,0.000918540039292001,0.0591280382663216,0.000253978968904236,7.47677753440607e-05,0.000382367360957399,0.010361423475279,0.00138179404073591,0.00284352686493977,0.000263427105053476,0.000191608141490274,0.0002405842187627,0.00727881170826001,0.000515584024591708,0.00532375472168929,0.000125447739415971,0.0146675463726803,2.57631533190144e-05,0.00206270285198663,0.00266632465699427,0.0251253204110355,0.0132331029705451,7.41399556536206e-05,0.00533787181492151,0.00101935564159761,0.000686831506759772,0.00251882381709699,0.00140712465920516,0.00293417103704564,0.0444152589213177,0.0313021273082958,2.11672356956291e-05,0.0165236640853053,4.53556368629324e-05,0.000596521940286238,3.91294692146484e-05,9.66426089228374e-05,0.00425706022643522,0.0105631668099147,0.000312837291897482,0.0433379959111936,2.79778653209249e-05,0.0383680686931458,0.00114683047306468,0.00641959184962076,0.00115994846785327,0.00977221076508965,0.00975719505065162,0.0026298808179727,0.000221451326981119,0.0344193312398245
