ti_id	titel	jaar	druk	categorie	voornaam	voorvoegsel	achternaam	uitgever	plaats_van_uitgave	cc_land	genre	geplaatst	link naar DBNL.org	author_id	year_start	year_end	year_precision	decade_start	decade_end	is_anonymous	no_author_id	is_magazine	is_prose	reprint_id	orig_jaar	best_jaar	Naam	Volledige voornaam	Personalia	active_start	active_end	dob_string	dob_location	dob_day	dob_month	dob_year	dob_century	dod_string	dod_location	dod_day	dod_month	dod_year	dod_century
loos005leve01	Het leven van Maurits Lijnslager	1808	1ste druk	werk	Adriaan		Loosjes	Loosjes	Haarlem	nl	proza	loos005leve01_01	https://www.dbnl.org/tekst/loos005leve01_01	loos005	1808	1808	exact	1800	1800	False	False	False	True			1808	Loosjes, Adriaan		(Den Hoorn (Texel) 13 mei 1761 - Haarlem 28 februari 1818)	1805	1816	Den Hoorn (Texel) 13 mei 1761	Den Hoorn (Texel)	13.0	5.0	1761.0	18.0	Haarlem 28 februari 1818	Haarlem	28.0	2.0	1818.0	19.0
ansl002brav01	De brave Hendrik	1810	1ste druk	werk	Nicolaas		Anslijn Nz.	D. du Mortier en Zoon	Leyden	nl	proza	ansl002brav01_01	https://www.dbnl.org/tekst/ansl002brav01_01	ansl002	1810	1810	exact	1810	1810	False	False	False	True			1810	Anslijn Nz., Nicolaas		(Leiden 12 mei 1777 - Alkmaar 18 september 1838)	1810	1811	Leiden 12 mei 1777	Leiden	12.0	5.0	1777.0	18.0	Alkmaar 18 september 1838	Alkmaar	18.0	9.0	1838.0	19.0
ansl002brav02	De brave Maria	1811	1ste druk	werk	Nicolaas		Anslijn Nz.	D. du Mortier en zoon	Leyden	nl	proza	ansl002brav02_01	https://www.dbnl.org/tekst/ansl002brav02_01	ansl002	1811	1811	exact	1810	1810	False	False	False	True			1811	Anslijn Nz., Nicolaas		(Leiden 12 mei 1777 - Alkmaar 18 september 1838)	1810	1811	Leiden 12 mei 1777	Leiden	12.0	5.0	1777.0	18.0	Alkmaar 18 september 1838	Alkmaar	18.0	9.0	1838.0	19.0
moen006caro01	Carolina van Eldenberg. Eerste deel	1811	1ste druk	werk	Petronella		Moens	François Bohn	Haarlem	nl	proza	moen006caro01_01	https://www.dbnl.org/tekst/moen006caro01_01	moen006	1811	1811	exact	1810	1810	False	False	False	True			1811	Moens, Petronella		(Kubaard 16 november 1762 - Utrecht 4 januari 1843)	1811	1826	Kubaard 16 november 1762	Kubaard	16.0	11.0	1762.0	18.0	Utrecht 4 januari 1843	Utrecht	4.0	1.0	1843.0	19.0
moen006caro02	Carolina van Eldenberg. Tweede deel	1812	1ste druk	werk	Petronella		Moens	François Bohn	Haarlem	nl	proza	moen006caro02_01	https://www.dbnl.org/tekst/moen006caro02_01	moen006	1812	1812	exact	1810	1810	False	False	False	True			1812	Moens, Petronella		(Kubaard 16 november 1762 - Utrecht 4 januari 1843)	1811	1826	Kubaard 16 november 1762	Kubaard	16.0	11.0	1762.0	18.0	Utrecht 4 januari 1843	Utrecht	4.0	1.0	1843.0	19.0
moen006caro03	Carolina van Eldenberg. Derde deel	1812	1ste druk	werk	Petronella		Moens	François Bohn	Haarlem	nl	proza	moen006caro03_01	https://www.dbnl.org/tekst/moen006caro03_01	moen006	1812	1812	exact	1810	1810	False	False	False	True			1812	Moens, Petronella		(Kubaard 16 november 1762 - Utrecht 4 januari 1843)	1811	1826	Kubaard 16 november 1762	Kubaard	16.0	11.0	1762.0	18.0	Utrecht 4 januari 1843	Utrecht	4.0	1.0	1843.0	19.0
loos005leve02	Het leven van Hillegonda Buisman	1814	1ste druk	werk	Adriaan		Loosjes	A. Loosjes Pz.	Haarlem	nl	proza	loos005leve02_01	https://www.dbnl.org/tekst/loos005leve02_01	loos005	1814	1814	exact	1810	1810	False	False	False	True			1814	Loosjes, Adriaan		(Den Hoorn (Texel) 13 mei 1761 - Haarlem 28 februari 1818)	1805	1816	Den Hoorn (Texel) 13 mei 1761	Den Hoorn (Texel)	13.0	5.0	1761.0	18.0	Haarlem 28 februari 1818	Haarlem	28.0	2.0	1818.0	19.0
moen006dank01	De dankbare Willem, of Het huisgezin van den heer Lausbach	1815	1ste druk	werk	Petronella		Moens	J. ten Brink		nl	proza	moen006dank01_01	https://www.dbnl.org/tekst/moen006dank01_01	moen006	1815	1815	exact	1810	1810	False	False	False	True			1815	Moens, Petronella		(Kubaard 16 november 1762 - Utrecht 4 januari 1843)	1811	1826	Kubaard 16 november 1762	Kubaard	16.0	11.0	1762.0	18.0	Utrecht 4 januari 1843	Utrecht	4.0	1.0	1843.0	19.0
loos005leve03	Het leven van Johannes Wouter Blommesteyn	1816	1ste druk	werk	Adriaan		Loosjes	A. Loosjes Pz.	Haerlem	nl	proza	loos005leve03_01	https://www.dbnl.org/tekst/loos005leve03_01	loos005	1816	1816	exact	1810	1810	False	False	False	True			1816	Loosjes, Adriaan		(Den Hoorn (Texel) 13 mei 1761 - Haarlem 28 februari 1818)	1805	1816	Den Hoorn (Texel) 13 mei 1761	Den Hoorn (Texel)	13.0	5.0	1761.0	18.0	Haarlem 28 februari 1818	Haarlem	28.0	2.0	1818.0	19.0
daal002janp01	Jan Perfect of De weg der volmaking, vertoond in het leven en de zonderlinge lotgevallen van een voornaam wijsgeer	1817	1ste druk	werk	Bruno		Daalberg	J. Immerzeel Junior	Amsterdam	nl	proza	daal002janp01_01	https://www.dbnl.org/tekst/daal002janp01_01	daal002	1817	1817	exact	1810	1810	False	False	False	True			1817	Daalberg, Bruno	[Baron Petrus de Wakker van Son]	(Amsterdam 9 augustus 1758 - Den Haag 8 december 1818)	1805	1817	Amsterdam 9 augustus 1758	Amsterdam	9.0	8.0	1758.0	18.0	Den Haag 8 december 1818	Den Haag	8.0	12.0	1818.0	19.0
