ti_id	titel	jaar	druk	categorie	voornaam	voorvoegsel	achternaam	uitgever	plaats_van_uitgave	cc_land	genre	geplaatst	link naar DBNL.org	author_id	year_start	year_end	year_precision	decade_start	decade_end	is_anonymous	no_author_id	is_magazine	is_prose
moen006caro03	Carolina van Eldenberg. Derde deel	1812	1ste druk	werk	Petronella		Moens	François Bohn	Haarlem	nl	proza	moen006caro03_01	https://www.dbnl.org/tekst/moen006caro03_01	moen006	1812	1812	exact	1810	1810	False	False	False	True
swil002deug01	Deugden-boekje	1813	1ste druk	werk	J.H.		Swildens	J.B. Elwe	Amsterdam	nl	proza	swil002deug01_01	https://www.dbnl.org/tekst/swil002deug01_01	swil002	1813	1813	exact	1810	1810	False	False	False	False
loos005leve02	Het leven van Hillegonda Buisman	1814	1ste druk	werk	Adriaan		Loosjes	A. Loosjes Pz.	Haarlem	nl	proza	loos005leve02_01	https://www.dbnl.org/tekst/loos005leve02_01	loos005	1814	1814	exact	1810	1810	False	False	False	True
moen006dank01	De dankbare Willem, of Het huisgezin van den heer Lausbach	1815	1ste druk	werk	Petronella		Moens	J. ten Brink		nl	proza	moen006dank01_01	https://www.dbnl.org/tekst/moen006dank01_01	moen006	1815	1815	exact	1810	1810	False	False	False	True
loos005leve03	Het leven van Johannes Wouter Blommesteyn	1816	1ste druk	werk	Adriaan		Loosjes	A. Loosjes Pz.	Haerlem	nl	proza	loos005leve03_01	https://www.dbnl.org/tekst/loos005leve03_01	loos005	1816	1816	exact	1810	1810	False	False	False	True
daal002janp01	Jan Perfect of De weg der volmaking, vertoond in het leven en de zonderlinge lotgevallen van een voornaam wijsgeer	1817	1ste druk	werk	Bruno		Daalberg	J. Immerzeel Junior	Amsterdam	nl	proza	daal002janp01_01	https://www.dbnl.org/tekst/daal002janp01_01	daal002	1817	1817	exact	1810	1810	False	False	False	True
beto001verv01	Vervolg der Kronijk van Nijmegen, tot den jare 1818	1818	1ste druk	werk	Johannes	in de	Betouw	C.J. van Goor & zoon	Nijmegen	nl	proza	beto001verv01_01	https://www.dbnl.org/tekst/beto001verv01_01	beto001	1818	1818	exact	1810	1810	False	False	False	False
mast002wilh01	Wilhelmina Noordkerk. Eene geschiedenis ter aanprijzing van oud vaderlandsche zeden, voor Nederlandsche vrouwen en meisjes	1818	1ste druk	werk	Fenna		Mastenbroek	F. Bohn	Haarlem	nl	proza	mast002wilh01_01	https://www.dbnl.org/tekst/mast002wilh01_01	mast002	1818	1818	exact	1810	1810	False	False	False	True
haff003lotg02	Lotgevallen en vroegere zeereizen	1820	1ste druk	uitgave	J.G.		Haffner	Johannes van der Hey	Amsterdam	nl	proza	haff003lotg02_01	https://www.dbnl.org/tekst/haff003lotg02_01	haff003	1820	1820	exact	1820	1820	False	False	False	False
groe036kron01	Kronijk van Zierikzee	1821	1ste druk	werk	Olivier		Groeneyk	Jacobus Koole	Zierikzee	nl	proza	groe036kron01_01	https://www.dbnl.org/tekst/groe036kron01_01	groe036	1821	1821	exact	1820	1820	False	False	False	False
meer031gids01	Gids voor jonge lieden van beschaafden stand	1821	1ste druk	werk	Anna Barbara	van	Meerten-Schilperoort	G.J.A. Beyerinck	Amsterdam	nl	proza	meer031gids01_01	https://www.dbnl.org/tekst/meer031gids01_01	meer031	1821	1821	exact	1820	1820	False	False	False	False
haff003reiz02	Reize naar Bengalen en terugreize naar Europa	1822	1ste druk	werk	J.G.		Haffner	Johannes van der Hey		nl	proza	haff003reiz02_01	https://www.dbnl.org/tekst/haff003reiz02_01	haff003	1822	1822	exact	1820	1820	False	False	False	False
cost002bezw01	Bezwaren tegen den geest der eeuw	1823	1ste druk	werk	Isaäc	da	Costa	L. Herdingh en zoon	Leyden	nl	proza	cost002bezw01_01	https://www.dbnl.org/tekst/cost002bezw01_01	cost002	1823	1823	exact	1820	1820	False	False	False	False
moen006mevr01	Mevrouw Veltman en hare voedsterlingen	1824	1ste druk	werk	Petronella		Moens	C. Schaares	Amsterdam	nl	proza	moen006mevr01_01	https://www.dbnl.org/tekst/moen006mevr01_01	moen006	1824	1824	exact	1820	1820	False	False	False	True
neuf002klei01	De kleine pligten (4 delen)	1824-1827	1ste druk	werk	Margaretha Jacoba	de	Neufville	P. den Hengst en zoon	Amsterdam	nl	proza	neuf002klei01_01	https://www.dbnl.org/tekst/neuf002klei01_01	neuf002	1824	1827	exact	1820	1820	False	False	False	True
